System,Teff,M_A,R_A,Period,aAU,M_b,R_b,Teq
HAT-P-52,5131,0.887,0.893,2.754,0.03694,259.9604,11.3097801,1218.0
HAT-P-53,5956,1.093,1.209,1.962,0.03159,471.6152,14.7733302,1778.0
HAT-P-54,4390,0.645,0.617,3.8,0.04117,241.52800000000002,10.5812016,818.0
HAT-P-55,5808,1.013,1.011,3.585,0.04604,184.9596,13.2489198,1313.0
HAT-P-56,6566,1.296,1.428,2.791,0.0423,692.8040000000001,16.432247399999998,1840.0
HAT-P-58,5931,1.031,1.53,4.014,0.04994,118.22160000000001,14.9302548,1622.0
HAT-P-59,5665,1.008,1.104,4.142,0.05064,489.41200000000003,12.5875947,1278.0
HAT-P-60,6462,1.435,2.197,4.795,0.06277,182.41719999999998,18.2817159,1772.0
HAT-P-61,5551,1.004,0.938,1.902,0.0301,335.9146,10.0768011,1505.0
HAT-P-62,5601,1.023,1.17,2.645,0.03772,241.84580000000003,12.027149699999999,1512.0
HAT-P-63,5365,0.925,0.966,3.378,0.04294,195.1292,12.5427591,1237.0
HAT-P-64,6302,1.298,1.735,4.007,0.05387,184.32399999999998,19.0887567,1766.0
HAT-P-65,5835,1.212,1.86,2.605,0.03951,167.4806,21.184821,1930.0
HAT-P-66,6002,1.255,1.881,2.972,0.04363,248.83740000000003,17.822151,1896.0
HAT-P-68,4508,0.679,0.6701,2.298,0.02996,230.0872,12.015940800000001,1028.0
HAT-P-69,7724,1.698,1.854,4.787,0.06629,1185.394,18.2256714,1990.0
HATS-01,5870,0.986,1.038,3.446,0.0444,589.519,14.5939878,1359.0
HATS-02,5227,0.882,0.898,1.354,0.023,427.44100000000003,13.0919952,1577.0
HATS-03,6351,1.209,1.404,3.548,0.0485,340.36379999999997,15.4794909,1648.0
HATS-04,5403,1.001,0.925,2.517,0.0362,420.4494,11.433078,1315.0
HATS-05,5304,0.936,0.871,4.763,0.0542,75.3186,10.222516800000001,1025.0
HATS-06,3770,0.574,0.57,3.325,0.03623,101.3782,11.1864822,713.0
HATS-07,4985,0.849,0.815,3.185,0.04012,38.136,6.310610699999999,1084.0
HATS-08,5679,1.056,1.086,3.584,0.04667,43.85640000000001,9.7853697,1324.0
HATS-09,5366,1.03,1.503,1.915,0.03048,259.3248,13.14131436,1823.0
HATS-10,5880,1.101,1.105,3.313,0.04491,167.1628,10.861424099999999,1407.0
HATS-11,6060,1.0,1.444,3.619,0.04614,263.774,16.6676343,1637.0
HATS-12,6408,1.489,2.21,3.143,0.04795,759.542,15.5131176,2097.0
HATS-13,5523,0.962,0.887,3.044,0.04057,172.5654,13.585186799999999,1244.0
HATS-14,5346,0.967,0.933,2.767,0.03815,340.36379999999997,11.646047099999999,1276.0
HATS-15,5311,0.871,0.922,1.747,0.02712,689.626,12.3858345,1505.0
HATS-16,5738,0.97,1.238,2.687,0.03744,1039.2060000000001,14.57157,1592.0
HATS-17,5846,1.131,1.091,16.255,0.1308,425.2164,8.7093153,814.0
HATS-18,5600,1.048,0.999,0.838,0.01768,632.422,14.6164056,2029.0
HATS-19,5896,1.303,1.75,4.57,0.0589,135.7006,18.606773999999998,1570.0
HATS-20,5406,0.91,0.892,3.799,0.04619,86.75940000000001,8.6981064,1147.0
HATS-21,5695,1.08,1.021,3.554,0.04676,105.5096,12.5875947,1284.0
HATS-22,4803,0.759,0.689,4.723,0.05025,870.772,10.6820817,858.0
HATS-23,5780,1.121,1.199,2.161,0.03397,467.166,20.848554,1654.0
HATS-24,6346,1.212,1.172,1.348,0.02547,775.432,16.6676343,2067.0
HATS-25,5715,0.994,1.107,4.299,0.05163,194.8114,14.123213999999999,1277.0
HATS-26,6071,1.299,2.04,3.302,0.04735,206.57000000000002,19.615575,1918.0
HATS-27,6438,1.415,1.74,4.637,0.0611,168.43400000000003,16.81335,1659.0
HATS-28,5498,0.929,0.922,3.181,0.04131,213.56160000000003,13.3834266,1253.0
HATS-29,5670,1.032,1.073,4.606,0.05475,207.5234,14.022333899999998,1212.0
HATS-30,5943,1.093,1.061,3.174,0.04354,224.36679999999998,13.1704575,1414.0
HATS-31,6050,1.275,1.87,3.378,0.0478,279.664,18.382596,1823.0
HATS-32,5700,1.099,1.097,2.813,0.04024,292.37600000000003,13.999916100000002,1437.0
HATS-33,5659,1.062,1.022,2.55,0.03727,378.81759999999997,13.786947,1429.0
HATS-34,5456,0.952,0.9381,2.106,0.03165,302.2278,14.3698098,1431.0
HATS-35,6300,1.317,1.433,1.821,0.03199,388.3516,16.4098296,2037.0
HATS-36,6149,1.222,1.155,4.175,0.05425,1022.0448000000001,13.8429915,1356.0
HATS-37,5326,0.843,0.877,4.332,0.04913,31.462200000000003,6.7925933999999994,1085.0
HATS-38,5732,0.89,1.105,4.375,0.05036,23.5172,6.8822646,1294.0
HATS-39,6572,1.379,1.621,4.578,0.06007,200.214,17.597973,1645.0
HATS-40,6460,1.561,2.26,3.264,0.04997,505.302,17.710062,2101.0
HATS-41,6424,1.496,1.71,4.194,0.0583,3082.66,14.907837,1710.0
HATS-42,6060,1.273,1.48,2.292,0.03689,597.4639999999999,15.692459999999999,1856.0
HATS-43,5099,0.837,0.812,4.389,0.04944,82.9458,13.226502,1003.0
HATS-44,5080,0.86,0.847,2.744,0.03649,177.96800000000002,11.959896299999999,1161.0
HATS-45,6450,1.272,1.315,4.188,0.05511,222.46,14.4146454,1518.0
HATS-46,5451,0.869,0.894,4.742,0.05272,50.2124,10.6596639,1082.0
HATS-47,4479,0.674,0.6564,3.923,0.04269,117.26820000000001,12.5203413,853.0
HATS-48,4190,0.7279,0.7152,3.132,0.03769,77.22540000000001,8.96712,955.0
HATS-49,4354,0.7133,0.6977,4.148,0.04515,112.18339999999999,8.5748085,835.0
HATS-50,5990,1.168,1.117,3.823,0.05046,123.94200000000001,12.666056999999999,1348.0
HATS-51,5758,1.187,1.44,3.349,0.04639,244.0704,15.804549,1553.0
HATS-52,6010,1.111,1.046,1.367,0.02498,711.8720000000001,15.490699799999998,1834.0
HATS-53,5644,0.964,1.101,3.854,0.04753,189.091,15.019926,1312.0
HATS-54,5621,1.05,1.23,2.544,0.037,239.3034,11.3770335,1429.0
HATS-55,6095,1.196,1.126,4.204,0.05412,292.6938,14.022333899999998,1367.0
HATS-56,6552,1.573,2.201,4.325,0.06043,191.3156,18.920623199999998,1902.0
HATS-57,5659,1.026,0.96,2.351,0.03493,1000.1166,12.7669371,1413.0
HATS-58,6460,1.461,1.433,4.218,0.05798,327.334,12.2737455,1721.0
HATS-59,5670,1.038,1.036,5.416,0.06112,256.14680000000004,12.621221399999998,1128.0
HATS-60,5698,1.0988,1.46,3.561,0.0471,206.57000000000002,13.3834266,1529.0
HATS-61,5630,1.075,1.667,7.818,0.07904,1080.52,13.4618889,1227.0
HATS-63,5637,0.931,1.07,3.057,0.04026,305.088,13.5291423,1398.0
HATS-64,6635,1.562,2.113,4.909,0.0656,295.55400000000003,18.763698599999998,1797.0
HATS-65,6660,1.269,1.296,3.105,0.04511,252.01540000000003,16.5779631,1623.0
HATS-66,6500,1.406,1.851,3.141,0.04709,1747.9,16.81335,1999.0
HATS-67,6570,1.441,1.441,1.609,0.03036,469.39060000000006,18.9878766,2196.0
HATS-68,6300,1.337,1.769,3.586,0.05053,408.6908,14.3922276,1750.0
HATS-70,7930,1.78,1.881,1.888,0.03632,4099.62,15.5131176,2730.0
HATS-71,3500,0.569,0.5161,3.796,0.03946,143.01000000000002,12.105612,568.0
HATS-72,4612,0.7311,0.7214,7.328,0.06652,39.852120000000006,8.09730936,739.0
HATS-74,3777,0.601,0.5758,1.732,0.02384,463.988,11.5675848,895.0
HATS-75,3790,0.6017,0.5848,2.789,0.03274,156.0398,9.9086676,772.0
HATS-76,4016,0.662,0.6259,1.942,0.02658,835.4962,12.0944031,940.0
HATS-77,4071,0.655,0.6428,3.088,0.03607,436.65720000000005,13.0583685,828.0
HD_001397,5528,1.322,2.328,11.536,0.1097,133.1582,11.4667047,1228.0
HD_002685,6801,1.44,1.57,4.127,0.0568,375.004,16.140816,2061.0
HD_003167b,5300,0.852,0.871,0.96,0.01802,4.73522,1.67685144,1777.0
HD_003167c,5300,0.852,0.871,29.845,0.1783,10.67808,2.9187975600000002,565.0
HD_006061,5920,1.0,1.03,5.245,0.059,10.805200000000001,2.4547491,1194.0
HD_015337b,5125,0.9,0.856,4.756,0.0535,7.6272,1.58493846,989.0
HD_015337c,5125,0.9,0.856,17.178,0.1261,7.37296,2.3090333999999997,644.0
HD_017156,6046,1.285,1.517,21.216,0.1632,1036.028,12.2625366,888.0
HD_020329,5596,0.9,1.13,0.926,0.018,7.40474,1.7149617,2141.0
HD_021749b,4640,0.73,0.695,35.613,0.209,19.98962,2.8582695,407.0
HD_023472b,4684,0.67,0.71,17.667,0.1162,8.326360000000001,1.9951842,543.0
HD_023472c,4684,0.67,0.71,29.797,0.1646,3.40046,1.8718863000000001,467.0
HD_023472d,4684,0.67,0.71,3.977,0.04298,0.54026,0.74987541,909.0
HD_023472e,4684,0.67,0.71,7.908,0.068,0.73094,0.8182497,723.0
HD_023472f,4684,0.67,0.71,12.162,0.0906,0.73094,1.13658246,630.0
HD_025463b,6220,1.19,1.41,7.049,0.076,8.48526,2.6228826,1290.0
HD_028109b,6120,1.446,1.26,22.891,0.1357,18.4324,2.1969444,881.0
HD_028109c,6120,1.446,1.26,56.008,0.308,7.945,4.2257553,582.0
HD_028109d,6120,1.446,1.26,84.26,0.411,5.7204,3.250581,507.0
HD_042813b,5289,0.88,0.993,13.631,0.107,9.597560000000001,3.474759,777.0
HD_042813c,5289,0.88,0.993,3.538,0.0436,4.51276,1.5804548999999999,1217.0
HD_042813d,5289,0.88,0.993,6.43,0.0649,5.0848,1.3674857999999999,998.0
HD_063433b,5700,0.994,0.897,7.108,0.0722,2.3835,2.017602,969.0
HD_063433c,5700,0.994,0.897,20.546,0.147,18.7502,2.4435402,680.0
HD_073583b,4511,0.73,0.65,6.398,0.0604,10.1696,2.7910160999999998,714.0
HD_073583c,4511,0.73,0.65,18.88,0.1242,9.8518,2.3874957,498.0
